Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,113820168,1458.0532718053455,2657191,34.03901170978518,347981,2527891,32.38265948893422,62938,0.8062451359313122,7238,
United States of America,Americas,28244591,8533.04,471544,142.46,69613,508584,153.65,14608,4.41,1824,Community transmission
India,South-East Asia,11112241,805.23,106391,7.71,15510,157157,11.39,772,0.06,106,Clusters of cases
Brazil,Americas,10517232,4947.9,378084,177.87,61602,254221,119.6,8244,3.88,1386,Community transmission
Russian Federation,Europe,4257650,2917.51,80320,55.04,11571,86455,59.24,2825,1.94,333,Clusters of cases
The United Kingdom,Europe,4176558,6152.31,61045,89.92,6035,122849,180.96,2269,3.34,144,Community transmission
France,Europe,3690421,5653.78,147126,225.4,19213,85986,131.73,2120,3.25,114,Community transmission
Spain,Europe,3180212,6801.9,18933,40.49,0,68813,147.18,420,0.9,0,Community transmission
Italy,Europe,2925265,4838.2,116019,191.89,17440,97699,161.59,1981,3.28,192,Clusters of cases
Turkey,Europe,2701588,3203.25,63166,74.9,8424,28569,33.87,509,0.6,66,Community transmission
Germany,Europe,2447068,2920.69,56140,67.01,4732,70105,83.67,2202,2.63,60,Community transmission
Colombia,Americas,2248135,4418.25,26117,51.33,3343,59660,117.25,975,1.92,142,Community transmission
Argentina,Americas,2107365,4662.75,46740,103.42,3168,51965,114.98,843,1.87,19,Community transmission
Mexico,Americas,2084128,1616.45,45852,35.56,7246,185257,143.68,5460,4.23,783,Community transmission
Poland,Europe,1711772,4522.92,69114,182.62,4786,43793,115.71,1605,4.24,24,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1631169,1942.03,57157,68.05,8010,60073,71.52,590,0.7,93,Community transmission
South Africa,Africa,1513393,2551.72,9597,16.18,1168,49993,84.29,940,1.58,52,Community transmission
Ukraine,Europe,1352134,3091.74,44472,101.69,4285,26050,59.56,894,2.04,68,Community transmission
Indonesia,South-East Asia,1334634,487.94,55981,20.47,5560,36166,13.22,1677,0.61,185,Community transmission
Peru,Americas,1323863,4015.13,47964,145.47,7500,46299,140.42,1422,4.31,205,Community transmission
Czechia,Europe,1240051,11579.54,82871,773.85,4571,20469,191.14,1139,10.64,130,Community transmission
Netherlands,Europe,1088690,6353.65,32235,188.13,4729,15563,90.83,347,2.03,21,Community transmission
Canada,Americas,864196,2289.74,20895,55.36,2724,21960,58.18,330,0.87,45,Community transmission
